Team,Rules knowledge,Fouls and contact,Fair mindedness,Positive attitude,Communication,Spirit,Division,Score
BOAT,2.14,1.86,1.86,1.43,2.14,9.43,Open,12
Club M - Magma,2,2.14,2.86,2.43,2.29,11.71,Open,15
Club M - Manic,2,1.83,2.5,2.33,2.17,10.83,Open,4
Grand Trunk,2.33,2,2.33,2,2.33,11,Open,3
Houndd,2.57,2.43,2.86,2.86,2.71,13.43,Open,6
Novo,1.86,1.86,2,2,2.29,10,Open,9
Phoenix,1.83,1.67,1.67,1.33,2,8.5,Open,1
Quake,2,1.63,2.25,2,2.13,10,Open,5
Red Circus,2,2.14,2.29,2.86,2.29,11.57,Open,13
Regiment,2.29,2.14,2.43,2.29,2.57,11.71,Open,10
ROY,2.13,2.25,2,2.25,2.5,11.13,Open,16
Sherbrooke Gentlemen,1.71,2,2.14,2.14,2.29,10.29,Open,11
Whitefish,2.67,2.5,2.67,3,2.5,13.33,Open,14
EXO,2.13,2,2.38,2.5,2.25,11.25,Women,14
Foxx,2,1.57,1.71,1.71,2.14,9.14,Women,8
Iris,2,2,2.43,2.71,2.43,11.57,Women,1
Koi,2,2.29,2.57,2.86,2.29,12,Women,15
Korra,2.11,2.22,2.56,3.22,2.56,12.67,Women,9
Luna Ultimate,1.86,2,2.14,2.29,2,10.29,Women,14
Nox,2,2.25,2.63,2.88,2.5,12.25,Women,12
PPF,2.29,1.71,2.14,2.43,2.14,10.71,Women,3
PPF BEEs,2,2,2.29,2.43,2.14,10.86,Women,16
Qub,1.75,2,1.88,1.88,2.13,9.63,Women,5
Salty,2.13,1.88,2.25,2,2.5,10.75,Women,6
Stella,2,1.71,1.71,2.14,2.14,9.71,Women,2
TOX6ix,2,1.89,2.22,2.44,2.22,10.78,Women,7
Valkyrie,2,1.57,2,2.14,2.14,9.86,Women,11
Vénus,2,1.86,2,2.57,2.14,10.57,Women,4
Volt,2,1.86,2.43,2.43,2.29,11,Women,13
